#{"t_start": 1755726833.5875497, "env_id": "None"}
r,l,t
-563.663852,5000,63.028973
-563.663852,5000,72.767371
1328.131194,5000,129.577853
3237.562944,5000,154.948545
5481.632882,5000,237.612797
130.993033,5000,261.493557
686.780177,5000,339.423454
300.62006,5000,359.18632
2750.294468,5000,427.946419
-459.330581,5000,453.129652
265.94319,5000,520.288625
-626.011354,5000,546.076797
-723.154199,5000,612.765688
3883.988294,5000,638.254567
-704.112777,5000,712.846408
980.005602,5000,738.063991
-125.063651,5000,806.639956
1253.372148,5000,826.941147
-648.405235,5000,897.412634
-692.583725,5000,917.716055
-750.52513,5000,987.41634
-1046.013207,5000,1007.82719
-471.176083,5000,1077.358905
242.261653,5000,1097.518591
-822.329955,5000,1166.109033
-788.657155,5000,1187.457781
-1348.182515,5000,1255.130454
-408.840239,5000,1281.872577
-1191.173539,5000,1350.508787
-1206.092682,5000,1375.139531
-1227.031956,5000,1442.176266
-5047.540855,5000,1467.977741
-673.687959,5000,1541.30476
1052.575599,5000,1568.210584
-834.71442,5000,1640.841316
5044.892265,5000,1662.301579
-1513.961182,5000,1734.329262
-287.610494,5000,1755.258707
-650.063575,5000,1828.783174
-1404.876558,5000,1849.483057
-905.682557,5000,1919.224676
-630.214064,5000,1939.582987
-683.677183,5000,2006.053205
-982.948444,5000,2030.679989
-1298.499722,5000,2098.312855
239.721252,5000,2123.040486
-563.389901,5000,2189.842309
-619.036563,5000,2215.369856
-758.326748,5000,2285.243884
-408.650286,5000,2311.954532
-570.875307,5000,2383.785984
-752.568653,5000,2404.181756
-216.169664,5000,2476.642746
-182.349624,5000,2498.947244
-799.736353,5000,2570.161227
-1531.093674,5000,2590.35077
-1373.263,5000,2661.39361
-415.844646,5000,2681.434201
36.002115,5000,2751.139485
-898.716504,5000,2771.320349
-1269.086345,5000,2836.299339
-1041.18324,5000,2860.783815
-1048.414734,5000,2925.110053
-1023.288089,5000,2949.469103
-972.412118,5000,3014.229201
-663.605811,5000,3038.441764
-693.266122,5000,3105.513329
9539.435069,5000,3130.290942
-1178.358541,5000,3195.215909
-424.142982,5000,3215.947112
1006.253711,5000,3284.81008
-562.956562,5000,3304.947773
-991.037873,5000,3374.195403
131.606849,5000,3394.494891
-996.59612,5000,3464.255712
-1412.957568,5000,3484.922133
1122.041339,5000,3551.032033
-388.967527,5000,3575.702863
-475.032564,5000,3642.516936
-167.999346,5000,3667.305259
19.411372,5000,3732.843134
62.880894,5000,3757.346331
-469.395136,5000,3822.953918
-416.254945,5000,3848.097192
-277.870813,5000,3914.146085
-2415.306201,5000,3934.582617
-1152.667776,5000,4004.723966
-452.351428,5000,4025.042246
-1086.01682,5000,4095.535865
-743.373128,5000,4116.028221
-130.64214,5000,4186.148479
5100.266186,5000,4257.931185
-606.746984,5000,4296.054473
-499.089845,5000,4306.704767
-705.713255,5000,4339.724059
-321.625682,5000,4352.821909
-449.131033,5000,4387.535677
434.918962,5000,4400.354682
-235.89808,5000,4433.314622
-106.83511,5000,4446.768978
-408.95737,5000,4479.487423
1890.105199,5000,4492.423392
-2188.410367,5000,4524.690417
2061.176228,5000,4535.110986
6936.977151,5000,4570.323056
-4202.942545,5000,4580.808246
1556.906238,5000,4615.708712
6841.751286,5000,4626.109924
2369.162988,5000,4661.224494
-655.693622,5000,4672.713479
-1668.559503,5000,4708.529255
-84.059556,5000,4724.393011
-568.177446,5000,4764.729558
824.414421,5000,4780.319928
-847.925343,5000,4821.641074
-1545.352054,5000,4848.753467
-563.575298,5000,4893.251041
-557.075012,5000,4914.46827
-1999.300392,5000,4954.276811
-1459.030937,5000,4966.352368
9159.077731,5000,5006.044818
3977.926566,5000,5017.638782
3011.858424,5000,5059.022698
209.061738,5000,5070.738596
1.187136,5000,5114.308864
21403.059205,5000,5125.930132
-1171.754559,5000,5166.350372
-1042.987051,5000,5180.670316
1972.659824,5000,5225.566332
8874.699701,5000,5243.636524
4272.544038,5000,5289.303914
-728.007075,5000,5306.37606
-132.748309,5000,5351.426076
-560.274734,5000,5368.437927
1631.461342,5000,5411.026306
15249.959349,5000,5426.126806
8747.250118,5000,5460.916614
-567.457425,5000,5471.853347
-221.912183,5000,5508.984726
16382.872056,5000,5520.137853
4127.431302,5000,5557.464056
-299.33438,5000,5568.729881
-364.064131,5000,5606.326311
610.919294,5000,5619.13502
-107.883879,5000,5665.875309
-754.144673,5000,5680.521122
-137.692601,5000,5718.11839
5963.753108,5000,5732.512241
4934.495351,5000,5770.82315
2168.927214,5000,5788.082368
5337.305827,5000,5830.614556
13066.401524,5000,5855.195581
5728.089672,5000,5893.479658
-758.963064,5000,5905.158277
6899.243859,5000,5974.894374
1961.527564,5000,6002.834273
2943.25579,5000,6107.804199
9202.932504,5000,6137.972937
-305.896015,5000,6207.808427
1519.773149,5000,6220.389454
11019.784426,5000,6277.201276
5382.394404,5000,6301.9433
4361.842015,5000,6368.557837
6355.64965,5000,6382.75377
25382.223836,5000,6419.377362
-43.246986,5000,6436.643991
1480.459409,5000,6484.586214
3464.427924,5000,6503.221132
-229.769911,5000,6543.581587
2406.403272,5000,6570.063229
34.65077,5000,6632.843191
-600.512202,5000,6655.852426
-588.564579,5000,6705.193294
360.506195,5000,6721.344777
14526.386591,5000,6762.323345
10677.477791,5000,6773.926574
6998.950302,5000,6818.364259
10955.967117,5000,6838.617989
3617.146877,5000,6879.661347
8380.292633,5000,6891.396188
8902.063316,5000,6928.027658
327.408615,5000,6943.361591
10827.536292,5000,6980.660453
-176.94264,5000,6995.268794
1317.280108,5000,7039.263332
-482.738671,5000,7058.813126
1706.368202,5000,7106.165247
5325.406702,5000,7119.386099
3040.658724,5000,7162.506226
5864.60261,5000,7175.419736
20951.44101,5000,7217.416836
694.871096,5000,7231.648469
296.604184,5000,7276.577309
9866.871165,5000,7292.477647
106.655531,5000,7338.231094
-344.542849,5000,7354.430547
-624.146579,5000,7402.010276
7018.958818,5000,7419.346311
-932.644661,5000,7463.923937
-411.17077,5000,7482.726118
17347.826044,5000,7530.340565
15389.519365,5000,7547.535361
18294.274112,5000,7621.794159
20991.258212,5000,7646.884409
46355.992063,5000,7704.555863
-1048.18153,5000,7726.398416
6174.383768,5000,7788.669317
60625.234537,5000,7802.729855
-537.503896,5000,7852.770798
67693.821372,5000,7869.28594
-447.863007,5000,7913.883174
217.967404,5000,7926.748133
-503.457045,5000,7978.86861
54149.855735,5000,7992.803635
2372.678744,5000,8043.963246
-128.984983,5000,8067.377653
1826.101606,5000,8109.887451
50464.002865,5000,8127.799269
57609.354464,5000,8188.186949
1545.143361,5000,8205.635624
57025.41448,5000,8247.030967
9304.570648,5000,8275.901475
34909.90894,5000,8349.090211
28805.032261,5000,8369.130389
59529.201244,5000,8421.174949
23857.092518,5000,8436.307862
50862.733465,5000,8482.336618
132.890026,5000,8502.846871
29036.537735,5000,8558.796309
-18.859571,5000,8574.445234
1237.751066,5000,8622.86096
8613.2978,5000,8643.501592
530.624149,5000,8694.418086
11608.212112,5000,8717.232115
20424.115995,5000,8766.778987
22444.55676,5000,8784.178692
3112.524638,5000,8831.150098
7458.343298,5000,8848.611696
32709.422896,5000,8894.243336
68846.635649,5000,8907.713042
23553.744035,5000,8952.464691
50193.743938,5000,8965.763847
22070.609634,5000,9008.706669
21642.537978,5000,9021.513031
12145.875048,5000,9064.116603
12924.456799,5000,9077.730289
12375.055653,5000,9120.434452
8517.311982,5000,9132.69089
17207.619275,5000,9170.518782
29120.060536,5000,9185.662737
13641.234202,5000,9226.93409
32938.303052,5000,9249.810829
10398.029613,5000,9298.870164
14534.111414,5000,9317.95101
31277.52232,5000,9365.326701
24634.631071,5000,9383.139451
31433.123734,5000,9430.223139
22494.646908,5000,9446.593794
42986.666803,5000,9492.198417
29707.02098,5000,9506.600898
24044.64722,5000,9548.987641
19846.26516,5000,9561.203996
11167.461342,5000,9606.170339
67266.193257,5000,9619.887167
18906.983044,5000,9663.962172
3634.537529,5000,9679.316478
1801.474239,5000,9719.543944
4651.798748,5000,9735.070823
15929.05303,5000,9775.634974
-290.459171,5000,9793.300769
11090.153597,5000,9838.232589
4625.436514,5000,9855.455802
1216.15827,5000,9894.626498
17572.717155,5000,9907.566478
18685.105528,5000,9952.031861
13960.90125,5000,9965.085875
20235.375907,5000,10009.38252
16788.630833,5000,10023.394448
22918.129883,5000,10066.977006
10009.76032,5000,10079.258529
15238.920721,5000,10119.718092
23525.455941,5000,10131.922252
26998.653794,5000,10176.613194
94316.849298,5000,10193.443718
76200.570149,5000,10240.856643
102026.912047,5000,10256.748795
43474.89149,5000,10295.427257
34249.0432,5000,10310.823414
37073.414615,5000,10350.00917
103464.073915,5000,10368.930053
21300.383603,5000,10424.139843
52294.005711,5000,10444.672895
